date,price,ma_small_long,ma_medium_long,ma_large_long,ma_small_short,ma_medium_short,ma_large_short,ma_slope,state_signal,order_signal,current_cash,cfd_units,portfolio_value,last_trade_investment,m_trade_profit ,stop_loss
29/09/2003 09:00,1000,0,0,0,0,0,0,0,0,0,10000,0,10000,0,0,0
29/09/2003 13:00,1004.5,0,0,0,0,0,0,0,0,0,10000,0,10000,0,0,0
29/09/2003 17:00,1005.5,0,0,0,0,0,0,0,0,0,10000,0,10000,0,0,0
29/09/2003 21:00,1005.7,0,0,0,0,0,0,0,0,0,10000,0,10000,0,0,0
30/09/2003 01:00,1006.2,0,0,0,0,0,0,0,0,0,10000,0,10000,0,0,0
30/09/2003 05:00,1003.2,0,0,0,0,0,0,0,0,0,10000,0,10000,0,0,0
30/09/2003 09:00,1002.2,0,0,0,0,0,0,0,0,0,10000,0,10000,0,0,0
30/09/2003 13:00,997.2,0,0,0,0,0,0,0,0,0,10000,0,10000,0,0,0
30/09/2003 17:00,996.2,0,0,0,0,0,0,0,0,0,10000,0,10000,0,0,0
30/09/2003 21:00,997.7,0,0,0,0,0,0,0,0,0,10000,0,10000,0,0,0
01/10/2003 01:00,998.7,0,0,0,0,0,0,0,0,0,10000,0,10000,0,0,0
01/10/2003 05:00,998.4,0,0,0,0,0,0,0,0,0,10000,0,10000,0,0,0
01/10/2003 09:00,999.7,0,0,0,0,0,0,0,0,0,10000,0,10000,0,0,0
01/10/2003 13:00,1009.2,0,0,0,0,0,0,0,0,0,10000,0,10000,0,0,0
01/10/2003 17:00,1017.4,0,0,0,0,0,0,0,0,0,10000,0,10000,0,0,0
01/10/2003 21:00,1017.2,0,0,0,0,0,0,0,0,0,10000,0,10000,0,0,0
02/10/2003 01:00,1017.4,0,0,0,0,0,0,0,0,0,10000,0,10000,0,0,0
02/10/2003 05:00,1016.2,0,0,0,0,0,0,0,0,0,10000,0,10000,0,0,0
02/10/2003 09:00,1017.4,0,0,0,0,0,0,0,0,0,10000,0,10000,0,0,0
02/10/2003 13:00,1017.4,0,0,0,0,0,0,0,0,0,10000,0,10000,0,0,0
02/10/2003 17:00,1021.4,0,0,0,0,0,0,0,0,0,10000,0,10000,0,0,0
02/10/2003 21:00,1021.2,0,0,0,0,0,0,0,0,0,10000,0,10000,0,0,0
03/10/2003 01:00,1020.7,0,0,0,0,0,0,0,0,0,10000,0,10000,0,0,0
03/10/2003 05:00,1020.2,0,0,0,0,0,0,0,0,0,10000,0,10000,0,0,0
03/10/2003 09:00,1034.4,0,0,0,0,0,0,0,0,0,10000,0,10000,0,0,0
03/10/2003 13:00,1038.7,0,0,0,0,0,0,0,0,0,10000,0,10000,0,0,0
03/10/2003 17:00,1030.2,0,0,0,0,0,0,0,0,0,10000,0,10000,0,0,0
05/10/2003 21:00,1028.6,0,0,0,0,0,0,0,0,0,10000,0,10000,0,0,0
06/10/2003 01:00,1029.1,0,0,0,0,0,0,0,0,0,10000,0,10000,0,0,0
06/10/2003 05:00,1031.1,0,0,0,0,0,0,0,0,0,10000,0,10000,0,0,0
06/10/2003 09:00,1031.6,0,0,0,0,0,0,0,0,0,10000,0,10000,0,0,0
06/10/2003 13:00,1034.1,0,0,0,0,0,0,0,0,0,10000,0,10000,0,0,0
06/10/2003 17:00,1036.4,0,0,0,0,0,0,0,0,0,10000,0,10000,0,0,0
06/10/2003 21:00,1035.6,0,0,0,0,0,0,0,0,0,10000,0,10000,0,0,0
07/10/2003 01:00,1034.8,0,0,0,0,0,0,0,0,0,10000,0,10000,0,0,0
07/10/2003 05:00,1031.3,0,0,0,0,0,0,0,0,0,10000,0,10000,0,0,0
07/10/2003 09:00,1029.3,0,0,0,0,0,0,0,0,0,10000,0,10000,0,0,0
07/10/2003 13:00,1031.8,0,0,0,0,0,0,0,0,0,10000,0,10000,0,0,0
07/10/2003 17:00,1039.1,0,0,0,0,0,0,0,0,0,10000,0,10000,0,0,0
07/10/2003 21:00,1037.8,0,0,0,0,0,0,0,0,0,10000,0,10000,0,0,0
08/10/2003 01:00,1037.6,0,0,0,0,0,0,0,0,0,10000,0,10000,0,0,0
08/10/2003 05:00,1038.6,0,0,0,0,0,0,0,0,0,10000,0,10000,0,0,0
08/10/2003 09:00,1039.8,0,0,0,0,0,0,0,0,0,10000,0,10000,0,0,0
08/10/2003 13:00,1035.8,0,0,0,0,0,0,0,0,0,10000,0,10000,0,0,0
08/10/2003 17:00,1035.6,0,0,0,0,0,0,0,0,0,10000,0,10000,0,0,0
08/10/2003 21:00,1036.8,0,0,0,0,0,0,0,0,0,10000,0,10000,0,0,0
09/10/2003 01:00,1036.8,0,0,0,0,0,0,0,0,0,10000,0,10000,0,0,0
09/10/2003 05:00,1036.8,0,0,0,0,0,0,0,0,0,10000,0,10000,0,0,0
09/10/2003 09:00,1044.1,0,0,0,0,0,0,0,0,0,10000,0,10000,0,0,0
09/10/2003 13:00,1046.1,0,0,0,0,0,0,0,0,0,10000,0,10000,0,0,0
09/10/2003 17:00,1039,0,0,0,0,0,0,0,0,0,10000,0,10000,0,0,0
09/10/2003 21:00,1039,0,0,0,0,0,0,0,0,0,10000,0,10000,0,0,0
10/10/2003 01:00,1040,0,0,0,0,0,0,0,0,0,10000,0,10000,0,0,0
10/10/2003 05:00,1042,0,0,0,0,0,0,0,0,0,10000,0,10000,0,0,0
10/10/2003 09:00,1039.5,0,0,0,0,0,0,0,0,0,10000,0,10000,0,0,0
10/10/2003 13:00,1037.8,0,0,0,0,0,0,0,0,0,10000,0,10000,0,0,0
10/10/2003 17:00,1042.5,0,0,0,0,0,0,0,0,0,10000,0,10000,0,0,0
12/10/2003 21:00,1042,0,0,0,0,0,0,0,0,0,10000,0,10000,0,0,0
